timestamp;formatted_timestamp;meter_reading;consumption
31.03.2024 08:45:46;2024-03-31 08:45:46;1196945;4
31.03.2024 09:00:48;2024-03-31 09:00:48;1196949;4
31.03.2024 09:15:48;2024-03-31 09:15:48;1196952;4
31.03.2024 09:30:49;2024-03-31 09:30:49;1196956;4
31.03.2024 09:45:47;2024-03-31 09:45:47;1196960;4
31.03.2024 10:00:48;2024-03-31 10:00:48;1196964;4
31.03.2024 10:15:50;2024-03-31 10:15:50;1196967;3
31.03.2024 10:30:45;2024-03-31 10:30:45;1196971;3
31.03.2024 10:45:46;2024-03-31 10:45:46;1196974;3
31.03.2024 11:00:50;2024-03-31 11:00:50;1196977;3
31.03.2024 11:15:48;2024-03-31 11:15:48;1196981;3
31.03.2024 11:30:49;2024-03-31 11:30:49;1196984;3
31.03.2024 11:45:48;2024-03-31 11:45:48;1196987;4
31.03.2024 12:00:45;2024-03-31 12:00:45;1196990;3
31.03.2024 12:15:50;2024-03-31 12:15:50;1196993;3
31.03.2024 12:30:47;2024-03-31 12:30:47;1196996;3
31.03.2024 12:45:50;2024-03-31 12:45:50;1196998;3
31.03.2024 13:00:50;2024-03-31 13:00:50;1197000;2
31.03.2024 13:15:48;2024-03-31 13:15:48;1197003;3
31.03.2024 13:30:50;2024-03-31 13:30:50;1197006;3
31.03.2024 13:45:47;2024-03-31 13:45:47;1197008;2
31.03.2024 14:00:48;2024-03-31 14:00:48;1197011;3
31.03.2024 14:15:47;2024-03-31 14:15:47;1197014;3
31.03.2024 14:30:46;2024-03-31 14:30:46;1197016;2
31.03.2024 14:45:49;2024-03-31 14:45:49;1197018;2
31.03.2024 15:01:25;2024-03-31 15:01:25;1197019;2
31.03.2024 15:15:48;2024-03-31 15:15:48;1197021;2
31.03.2024 15:30:50;2024-03-31 15:30:50;1197023;2
31.03.2024 15:45:48;2024-03-31 15:45:48;1197025;1
31.03.2024 16:00:51;2024-03-31 16:00:51;1197026;2
31.03.2024 16:15:48;2024-03-31 16:15:48;1197028;1
31.03.2024 16:30:48;2024-03-31 16:30:48;1197030;3
